ID,Prob1
420, 0.23
421, 0.34
422, 0.28
423, 0.59
424, 0.72
425, 0.22
426, 0.32
427, 0.38
428, 0.22
429, 0.59
430, 0.35
431, 0.34
432, 0.26
433, 0.21
434, 0.30
435, 0.33
436, 0.23
437, 0.73
438, 0.33
439, 0.44
440, 0.22
441, 0.13
442, 0.39
443, 0.41
444, 0.68
445, 0.62
446, 0.34
447, 0.30
448, 0.40
449, 0.25
450, 0.17
451, 0.20
452, 0.28
453, 0.15
454, 0.29
455, 0.44
456, 0.26
457, 0.44
458, 0.70
459, 0.41
460, 0.68
461, 0.31
462, 0.36
463, 0.31
464, 0.29
465, 0.44
466, 0.27
467, 0.33
468, 0.25
469, 0.73
470, 0.42
471, 0.56
472, 0.58
473, 0.25
474, 0.31
475, 0.24
476, 0.64
477, 0.38
478, 0.23
479, 0.19
480, 0.31
481, 0.27
482, 0.18
483, 0.27
484, 0.40
485, 0.11
486, 0.21
487, 0.34
488, 0.30
489, 0.23
490, 0.58
491, 0.27
492, 0.36
493, 0.60
494, 0.40
495, 0.23
496, 0.70
497, 0.28
498, 0.22
499, 0.20
500, 0.35
501, 0.30
502, 0.55
503, 0.59
504, 0.51
505, 0.34
506, 0.22
507, 0.16
508, 0.21
509, 0.25
510, 0.22
511, 0.53
512, 0.23
513, 0.33
514, 0.25
515, 0.71
516, 0.58
517, 0.28
518, 0.19
519, 0.29
520, 0.45
521, 0.23
522, 0.35
523, 0.27
524, 0.20
525, 0.32
526, 0.34
527, 0.41
528, 0.16
529, 0.30
530, 0.27
531, 0.31
532, 0.69
533, 0.74
534, 0.29
535, 0.27
536, 0.23
537, 0.32
538, 0.16
539, 0.28
540, 0.66
541, 0.14
542, 0.50
543, 0.64
544, 0.61
545, 0.37
546, 0.58
547, 0.28
548, 0.32
549, 0.26
550, 0.28
551, 0.77
552, 0.40
553, 0.30
554, 0.20
555, 0.23
556, 0.20
557, 0.26
558, 0.59
559, 0.22
560, 0.33
561, 0.59
562, 0.61
563, 0.36
564, 0.46
565, 0.34
566, 0.78
567, 0.34
568, 0.37
569, 0.42
570, 0.28
571, 0.46
572, 0.43
573, 0.57
574, 0.59
575, 0.08
576, 0.29
577, 0.17
578, 0.74
579, 0.23
580, 0.18
581, 0.32
582, 0.18
583, 0.59
584, 0.41
585, 0.25
586, 0.25
587, 0.43
588, 0.31
589, 0.16
590, 0.22
591, 0.20
592, 0.48
593, 0.23
594, 0.17
595, 0.33
596, 0.25
597, 0.33
598, 0.37
599, 0.29
600, 0.28
601, 0.25
602, 0.31
603, 0.24
604, 0.21
605, 0.49
606, 0.55
607, 0.57
608, 0.54
609, 0.73
610, 0.21
611, 0.40
612, 0.54
613, 0.75
614, 0.26
615, 0.29
616, 0.45
617, 0.76
618, 0.79
619, 0.21
620, 0.79
621, 0.28
622, 0.34
623, 0.52
624, 0.25
625, 0.20
626, 0.42
627, 0.56
628, 0.52
629, 0.26
630, 0.17
631, 0.26
632, 0.68
633, 0.14
634, 0.37
635, 0.29
636, 0.66
637, 0.53
638, 0.65
639, 0.75
640, 0.42
641, 0.21
642, 0.18
643, 0.25
644, 0.30
645, 0.37
646, 0.73
647, 0.15
648, 0.31
649, 0.56
650, 0.41
651, 0.27
652, 0.14
653, 0.17
654, 0.54
655, 0.17
656, 0.52
657, 0.40
658, 0.50
659, 0.24
660, 0.35
661, 0.31
662, 0.20
663, 0.21
664, 0.25
665, 0.59
666, 0.63
667, 0.27
668, 0.20
669, 0.35
670, 0.27
671, 0.18
672, 0.41
673, 0.71
674, 0.34
675, 0.11
676, 0.47
677, 0.27
678, 0.26
679, 0.41
680, 0.27
681, 0.26
682, 0.73
683, 0.34
684, 0.38
685, 0.52
686, 0.24
687, 0.26
688, 0.20
689, 0.14
690, 0.27
691, 0.46
692, 0.54
693, 0.37
694, 0.38
695, 0.21
696, 0.39
697, 0.34
698, 0.51
699, 0.19
700, 0.26
701, 0.31
702, 0.39
703, 0.28
704, 0.58
705, 0.45
706, 0.31
707, 0.27
708, 0.25
709, 0.31
710, 0.13
711, 0.29
712, 0.30
713, 0.59
714, 0.48
715, 0.27
716, 0.26
717, 0.48
718, 0.27
719, 0.26
720, 0.24
721, 0.40
722, 0.43
723, 0.21
724, 0.19
725, 0.69
726, 0.21
727, 0.41
728, 0.19
729, 0.18
730, 0.26
731, 0.22
732, 0.16
733, 0.68
734, 0.37
735, 0.31
736, 0.45
737, 0.75
738, 0.30
739, 0.29
740, 0.26
741, 0.38
742, 0.70
743, 0.31
744, 0.34
745, 0.41
746, 0.29
747, 0.64
748, 0.49
749, 0.19
750, 0.20
751, 0.35
752, 0.77
753, 0.63
754, 0.50
755, 0.20
756, 0.55
757, 0.40
758, 0.19
759, 0.18
760, 0.13
761, 0.21
762, 0.29
763, 0.65
764, 0.26
765, 0.17
766, 0.31
767, 0.36
768, 0.25
769, 0.23
770, 0.33
771, 0.35
772, 0.53
773, 0.19
774, 0.36
775, 0.29
776, 0.38
777, 0.30
778, 0.26
779, 0.33
780, 0.43
781, 0.28
782, 0.35
783, 0.30
784, 0.42
785, 0.29
786, 0.29
787, 0.15
788, 0.27
789, 0.56
790, 0.25
791, 0.43
792, 0.46
793, 0.35
794, 0.29
795, 0.32
796, 0.42
797, 0.31
798, 0.28
799, 0.57
800, 0.37
801, 0.24
802, 0.21
803, 0.52
804, 0.23
805, 0.18
806, 0.17
807, 0.22
808, 0.27
809, 0.20
810, 0.51
811, 0.50
812, 0.57
813, 0.22
814, 0.38
815, 0.18
816, 0.51
817, 0.29
818, 0.39
819, 0.53
820, 0.30
821, 0.28
822, 0.58
823, 0.22
824, 0.23
825, 0.25
826, 0.40
827, 0.21
828, 0.46
829, 0.24
830, 0.41
831, 0.09
832, 0.29
833, 0.43
834, 0.16
835, 0.19
836, 0.17
837, 0.13
838, 0.36
839, 0.32
840, 0.30
841, 0.71
842, 0.26
843, 0.29
844, 0.55
845, 0.29
846, 0.11
847, 0.07
848, 0.19
849, 0.27
850, 0.28
851, 0.33
852, 0.32
853, 0.45
854, 0.43
855, 0.27
856, 0.30
857, 0.32
858, 0.60
859, 0.25
860, 0.25
861, 0.49
862, 0.49
863, 0.28
864, 0.44
865, 0.38
866, 0.50
867, 0.20
868, 0.44
869, 0.22
870, 0.42
871, 0.55
872, 0.59
873, 0.22
874, 0.60
875, 0.21
876, 0.25
877, 0.32
878, 0.57
879, 0.30
880, 0.38
881, 0.35
882, 0.23
883, 0.27
884, 0.63
885, 0.57
886, 0.28
887, 0.51
888, 0.56
889, 0.33
890, 0.32
891, 0.62
892, 0.24
893, 0.33
894, 0.32
895, 0.19
896, 0.59
897, 0.36
898, 0.19
899, 0.32
900, 0.23
901, 0.23
902, 0.28
903, 0.18
904, 0.26
905, 0.50
906, 0.30
907, 0.33
908, 0.26
909, 0.38
910, 0.50
911, 0.30
912, 0.17
913, 0.36
914, 0.47
915, 0.18
916, 0.27
917, 0.25
918, 0.78
919, 0.44
920, 0.26
921, 0.36
922, 0.49
923, 0.26
924, 0.54
925, 0.33
926, 0.31
927, 0.33
928, 0.36
929, 0.58
930, 0.55
931, 0.18
932, 0.38
933, 0.29
934, 0.87
935, 0.40
936, 0.28
937, 0.42
938, 0.65
939, 0.33
940, 0.31
941, 0.32
942, 0.39
943, 0.36
944, 0.57
945, 0.23
946, 0.37
947, 0.35
948, 0.32
949, 0.25
950, 0.09
951, 0.48
952, 0.52
953, 0.05
954, 0.42
955, 0.31
956, 0.22
957, 0.23
958, 0.19
959, 0.66
960, 0.47
961, 0.32
962, 0.24
963, 0.79
964, 0.43
965, 0.21
966, 0.22
967, 0.59
968, 0.39
969, 0.36
970, 0.16
971, 0.25
972, 0.29
973, 0.52
974, 0.29
975, 0.39
976, 0.67
977, 0.33
978, 0.22
979, 0.35
980, 0.33
981, 0.38
982, 0.28
983, 0.30
984, 0.31
985, 0.33
986, 0.28
987, 0.27
988, 0.25
989, 0.40
990, 0.40
991, 0.16
992, 0.26
993, 0.74
994, 0.34
995, 0.15
996, 0.21
997, 0.33
998, 0.55
999, 0.72
1000, 0.37
1001, 0.58
1002, 0.21
1003, 0.41
1004, 0.52
1005, 0.17
1006, 0.75
1007, 0.32
1008, 0.21
1009, 0.31
1010, 0.55
1011, 0.32
1012, 0.60
1013, 0.19
1014, 0.42
1015, 0.21
1016, 0.22
1017, 0.18
1018, 0.49
1019, 0.34
1020, 0.40
1021, 0.31
1022, 0.33
1023, 0.44
1024, 0.22
1025, 0.22
1026, 0.22
1027, 0.34
1028, 0.47
1029, 0.60
1030, 0.37
1031, 0.30
1032, 0.65
1033, 0.49
1034, 0.28
1035, 0.27
1036, 0.32
1037, 0.39
1038, 0.26
1039, 0.18
1040, 0.59
1041, 0.37
1042, 0.39
1043, 0.38
1044, 0.30
1045, 0.56
1046, 0.28
1047, 0.14
1048, 0.26
1049, 0.39
1050, 0.64
1051, 0.18
1052, 0.20
1053, 0.24
1054, 0.38
1055, 0.34
1056, 0.26
1057, 0.23
1058, 0.34
1059, 0.41
1060, 0.60
1061, 0.24
1062, 0.09
1063, 0.16
1064, 0.21
1065, 0.41
1066, 0.43
1067, 0.28
1068, 0.24
1069, 0.21
1070, 0.31
1071, 0.39
1072, 0.43
1073, 0.30
1074, 0.22
1075, 0.47
1076, 0.25
1077, 0.47
1078, 0.23
1079, 0.29
1080, 0.25
1081, 0.38
1082, 0.67
1083, 0.20
1084, 0.11
1085, 0.86
1086, 0.29
1087, 0.63
1088, 0.30
1089, 0.27
1090, 0.14
1091, 0.27
1092, 0.35
1093, 0.18
1094, 0.13
1095, 0.19
1096, 0.31
1097, 0.32
1098, 0.62
1099, 0.27
1100, 0.40
1101, 0.20
1102, 0.25
1103, 0.21
1104, 0.58
1105, 0.19
1106, 0.27
1107, 0.15
1108, 0.29
1109, 0.30
1110, 0.23
1111, 0.32
1112, 0.19
1113, 0.64
1114, 0.71
1115, 0.22
1116, 0.35
1117, 0.20
1118, 0.62
1119, 0.31
1120, 0.26
1121, 0.23
1122, 0.33
1123, 0.28
1124, 0.21
1125, 0.28
1126, 0.36
1127, 0.24
1128, 0.19
1129, 0.29
1130, 0.16
1131, 0.44
1132, 0.38
1133, 0.39
1134, 0.25
1135, 0.66
1136, 0.15
1137, 0.21
1138, 0.26
1139, 0.25
1140, 0.44
1141, 0.29
1142, 0.74
1143, 0.39
1144, 0.22
1145, 0.44
1146, 0.36
1147, 0.24
1148, 0.29
1149, 0.39
1150, 0.51
1151, 0.20
1152, 0.39
1153, 0.26
1154, 0.21
1155, 0.48
1156, 0.59
1157, 0.34
1158, 0.47
1159, 0.33
1160, 0.16
1161, 0.46
1162, 0.28
1163, 0.33
1164, 0.28
1165, 0.51
1166, 0.22
1167, 0.39
1168, 0.63
1169, 0.27
1170, 0.37
1171, 0.18
1172, 0.25
1173, 0.39
1174, 0.28
1175, 0.35
1176, 0.11
1177, 0.35
1178, 0.33
1179, 0.21
1180, 0.31
1181, 0.22
1182, 0.54
1183, 0.44
1184, 0.22
1185, 0.29
1186, 0.34
1187, 0.40
1188, 0.58
1189, 0.15
1190, 0.21
1191, 0.42
1192, 0.20
1193, 0.38
1194, 0.14
1195, 0.20
1196, 0.38
1197, 0.34
1198, 0.33
1199, 0.62
1200, 0.27
1201, 0.23
1202, 0.70
1203, 0.24
1204, 0.10
1205, 0.47
1206, 0.20
1207, 0.47
1208, 0.27
1209, 0.34
1210, 0.20
1211, 0.22
1212, 0.25
1213, 0.32
1214, 0.22
1215, 0.30
1216, 0.26
1217, 0.34
1218, 0.35
1219, 0.25
1220, 0.34
1221, 0.22
1222, 0.74
1223, 0.30
1224, 0.31
1225, 0.61
1226, 0.20
1227, 0.39
1228, 0.41
1229, 0.31
1230, 0.15
1231, 0.26
1232, 0.22
1233, 0.53
1234, 0.24
1235, 0.32
1236, 0.30
1237, 0.31
1238, 0.16
1239, 0.70
1240, 0.26
1241, 0.44
1242, 0.23
1243, 0.30
1244, 0.25
1245, 0.49
1246, 0.31
1247, 0.35
1248, 0.25
1249, 0.31
1250, 0.21
1251, 0.63
1252, 0.23
1253, 0.28
1254, 0.21
1255, 0.33
1256, 0.25
1257, 0.21
1258, 0.48
1259, 0.42
1260, 0.29
1261, 0.15
1262, 0.22
1263, 0.23
1264, 0.25
1265, 0.47
1266, 0.33
1267, 0.17
1268, 0.44
1269, 0.41
1270, 0.21
1271, 0.36
1272, 0.26
1273, 0.54
1274, 0.53
1275, 0.36
1276, 0.67
1277, 0.79
1278, 0.26
1279, 0.33
1280, 0.18
1281, 0.44
1282, 0.30
1283, 0.24
1284, 0.86
1285, 0.22
1286, 0.20
1287, 0.15
1288, 0.85
1289, 0.19
1290, 0.11
1291, 0.36
1292, 0.25
1293, 0.28
1294, 0.53
1295, 0.56
1296, 0.22
1297, 0.51
1298, 0.18
1299, 0.30
1300, 0.25
1301, 0.54
1302, 0.50
1303, 0.67
1304, 0.21
1305, 0.23
1306, 0.18
1307, 0.47
1308, 0.21
1309, 0.37
1310, 0.36
1311, 0.55
1312, 0.15
1313, 0.34
1314, 0.32
1315, 0.68
1316, 0.26
1317, 0.24
1318, 0.14
1319, 0.23
1320, 0.28
1321, 0.58
1322, 0.52
1323, 0.50
1324, 0.16
1325, 0.32
1326, 0.32
1327, 0.18
1328, 0.67
1329, 0.15
1330, 0.68
1331, 0.30
1332, 0.16
1333, 0.19
1334, 0.33
1335, 0.26
1336, 0.37
1337, 0.25
1338, 0.66
1339, 0.32
1340, 0.41
1341, 0.49
1342, 0.27
1343, 0.27
1344, 0.32
1345, 0.40
1346, 0.40
1347, 0.51
1348, 0.27
1349, 0.41
1350, 0.36
1351, 0.31
1352, 0.14
1353, 0.68
1354, 0.16
1355, 0.11
1356, 0.51
1357, 0.32
1358, 0.30
1359, 0.25
1360, 0.19
1361, 0.65
1362, 0.25
1363, 0.35
1364, 0.30
1365, 0.26
1366, 0.47
1367, 0.49
1368, 0.33
1369, 0.21
1370, 0.21
1371, 0.42
1372, 0.52
1373, 0.51
1374, 0.53
1375, 0.56
1376, 0.29
1377, 0.22
1378, 0.26
1379, 0.39
1380, 0.16
1381, 0.36
1382, 0.28
1383, 0.33
1384, 0.32
1385, 0.56
1386, 0.35
1387, 0.24
1388, 0.38
1389, 0.70
1390, 0.20
1391, 0.24
1392, 0.33
1393, 0.16
1394, 0.35
1395, 0.09
1396, 0.28
1397, 0.18
1398, 0.33
1399, 0.31
1400, 0.64
1401, 0.36
1402, 0.21
1403, 0.24
1404, 0.33
1405, 0.23
1406, 0.47
1407, 0.28
1408, 0.43
1409, 0.15
1410, 0.47
1411, 0.21
1412, 0.43
1413, 0.37
1414, 0.56
1415, 0.22
1416, 0.27
1417, 0.27
1418, 0.19
1419, 0.37
1420, 0.74
1421, 0.24
1422, 0.33
1423, 0.25
1424, 0.17
1425, 0.19
1426, 0.76
1427, 0.34
1428, 0.21
1429, 0.43
1430, 0.81
1431, 0.55
1432, 0.45
1433, 0.22
1434, 0.32
1435, 0.29
1436, 0.79
1437, 0.47
1438, 0.38
1439, 0.17
1440, 0.12
1441, 0.27
1442, 0.26
1443, 0.34
1444, 0.64
1445, 0.34
1446, 0.24
1447, 0.32
1448, 0.25
1449, 0.26
1450, 0.36
1451, 0.30
1452, 0.25
1453, 0.31
1454, 0.32
1455, 0.36
1456, 0.23
1457, 0.29
1458, 0.55
1459, 0.24
1460, 0.40
1461, 0.13
1462, 0.33
1463, 0.38
1464, 0.56
1465, 0.26
1466, 0.63
1467, 0.16
1468, 0.26
1469, 0.21
1470, 0.29
1471, 0.28
1472, 0.23
1473, 0.25
1474, 0.36
1475, 0.40
1476, 0.43
1477, 0.23
1478, 0.26
1479, 0.22
1480, 0.35
1481, 0.23
1482, 0.27
1483, 0.44
1484, 0.24
1485, 0.32
1486, 0.17
1487, 0.33
1488, 0.24
1489, 0.35
1490, 0.78
1491, 0.54
1492, 0.26
1493, 0.17
1494, 0.33
1495, 0.12
1496, 0.27
1497, 0.32
1498, 0.32
1499, 0.33
1500, 0.20
1501, 0.35
1502, 0.28
1503, 0.33
1504, 0.17
1505, 0.21
1506, 0.24
1507, 0.23
1508, 0.32
1509, 0.26
1510, 0.49
1511, 0.29
1512, 0.31
1513, 0.23
1514, 0.43
1515, 0.25
1516, 0.14
1517, 0.62
1518, 0.18
1519, 0.25
1520, 0.49
1521, 0.21
1522, 0.30
1523, 0.30
1524, 0.41
1525, 0.19
1526, 0.41
1527, 0.27
1528, 0.62
1529, 0.69
1530, 0.24
1531, 0.48
1532, 0.30
1533, 0.67
1534, 0.43
1535, 0.28
1536, 0.51
1537, 0.35
1538, 0.53
1539, 0.43
1540, 0.36
1541, 0.35
1542, 0.35
1543, 0.35
1544, 0.23
1545, 0.17
1546, 0.24
1547, 0.39
1548, 0.30
1549, 0.25
1550, 0.56
1551, 0.18
1552, 0.27
1553, 0.22
1554, 0.24
1555, 0.62
1556, 0.37
1557, 0.60
1558, 0.32
1559, 0.49
1560, 0.21
1561, 0.59
1562, 0.20
1563, 0.26
1564, 0.27
1565, 0.34
1566, 0.18
1567, 0.69
1568, 0.28
1569, 0.33
1570, 0.85
1571, 0.22
1572, 0.39
1573, 0.21
1574, 0.37
1575, 0.16
1576, 0.39
1577, 0.34
1578, 0.20
1579, 0.63
1580, 0.23
1581, 0.31
1582, 0.51
1583, 0.22
1584, 0.44
1585, 0.18
1586, 0.26
1587, 0.61
1588, 0.25
1589, 0.27
1590, 0.75
1591, 0.27
1592, 0.33
1593, 0.41
1594, 0.52
1595, 0.73
1596, 0.31
1597, 0.61
1598, 0.33
1599, 0.22
1600, 0.54
1601, 0.83
1602, 0.27
1603, 0.12
1604, 0.10
1605, 0.19
1606, 0.21
1607, 0.19
1608, 0.42
1609, 0.27
1610, 0.23
1611, 0.24
1612, 0.49
1613, 0.29
1614, 0.13
1615, 0.27
1616, 0.43
1617, 0.37
1618, 0.49
1619, 0.51
1620, 0.45
1621, 0.71
1622, 0.31
1623, 0.20
1624, 0.35
1625, 0.31
1626, 0.50
1627, 0.36
1628, 0.37
1629, 0.22
1630, 0.19
1631, 0.29
1632, 0.66
1633, 0.31
1634, 0.23
1635, 0.33
1636, 0.45
1637, 0.29
1638, 0.33
1639, 0.37
1640, 0.41
1641, 0.41
1642, 0.23
1643, 0.29
1644, 0.25
1645, 0.20
1646, 0.35
1647, 0.35
1648, 0.60
1649, 0.29
1650, 0.66
1651, 0.38
1652, 0.27
1653, 0.53
1654, 0.66
1655, 0.26
1656, 0.40
1657, 0.25
1658, 0.29
1659, 0.86
1660, 0.43
1661, 0.72
1662, 0.13
1663, 0.27
1664, 0.51
1665, 0.32
1666, 0.39
1667, 0.28
1668, 0.52
1669, 0.26
1670, 0.53
1671, 0.27
1672, 0.45
1673, 0.40
1674, 0.29
1675, 0.66
1676, 0.23
1677, 0.35
1678, 0.44
1679, 0.25
1680, 0.31
1681, 0.33
1682, 0.31
1683, 0.51
1684, 0.27
1685, 0.38
1686, 0.35
1687, 0.31
1688, 0.31
1689, 0.70
1690, 0.43
1691, 0.26
1692, 0.23
1693, 0.22
1694, 0.17
1695, 0.35
1696, 0.31
1697, 0.30
1698, 0.27
1699, 0.51
1700, 0.49
1701, 0.43
1702, 0.26
1703, 0.44
1704, 0.16
1705, 0.21
1706, 0.19
1707, 0.41
1708, 0.34
1709, 0.34
1710, 0.69
1711, 0.59
1712, 0.23
1713, 0.33
1714, 0.23
1715, 0.20
1716, 0.28
1717, 0.39
1718, 0.33
1719, 0.26
1720, 0.58
1721, 0.28
1722, 0.30
1723, 0.25
1724, 0.20
1725, 0.54
1726, 0.20
1727, 0.52
1728, 0.21
1729, 0.22
1730, 0.18
1731, 0.21
1732, 0.51
1733, 0.23
1734, 0.37
1735, 0.18
1736, 0.32
1737, 0.50
1738, 0.24
1739, 0.33
1740, 0.27
1741, 0.21
1742, 0.49
1743, 0.25
1744, 0.24
1745, 0.12
1746, 0.33
1747, 0.30
1748, 0.27
1749, 0.18
1750, 0.23
1751, 0.37
1752, 0.44
1753, 0.22
1754, 0.37
1755, 0.25
1756, 0.25
1757, 0.17
1758, 0.31
1759, 0.40
1760, 0.71
1761, 0.28
1762, 0.45
1763, 0.30
1764, 0.30
1765, 0.40
1766, 0.26
1767, 0.39
1768, 0.27
1769, 0.48
1770, 0.61
1771, 0.14
1772, 0.31
1773, 0.23
1774, 0.30
1775, 0.28
1776, 0.43
1777, 0.34
1778, 0.51
1779, 0.40
1780, 0.27
1781, 0.24
1782, 0.25
1783, 0.27
1784, 0.45
1785, 0.24
1786, 0.55
1787, 0.25
1788, 0.26
1789, 0.42
1790, 0.49
1791, 0.23
1792, 0.45
1793, 0.21
1794, 0.76
1795, 0.32
1796, 0.28
1797, 0.54
1798, 0.55
1799, 0.31
1800, 0.27
1801, 0.72
1802, 0.15
1803, 0.24
1804, 0.36
1805, 0.18
1806, 0.22
1807, 0.53
1808, 0.31
1809, 0.47
1810, 0.30
1811, 0.17
1812, 0.29
1813, 0.50
1814, 0.37
1815, 0.39
1816, 0.14
1817, 0.24
1818, 0.63
1819, 0.12
1820, 0.20
1821, 0.17
1822, 0.40
1823, 0.71
1824, 0.40
1825, 0.18
1826, 0.44
1827, 0.24
1828, 0.17
1829, 0.19
1830, 0.20
1831, 0.25
1832, 0.36
1833, 0.31
1834, 0.33
1835, 0.20
1836, 0.21
1837, 0.25
1838, 0.47
1839, 0.27
1840, 0.36
1841, 0.34
1842, 0.42
1843, 0.11
1844, 0.23
1845, 0.39
1846, 0.45
1847, 0.69
1848, 0.30
1849, 0.21
1850, 0.15
1851, 0.32
1852, 0.25
1853, 0.54
1854, 0.44
1855, 0.65
1856, 0.07
1857, 0.38
1858, 0.25
1859, 0.25
1860, 0.23
1861, 0.59
1862, 0.32
1863, 0.23
1864, 0.32
1865, 0.27
1866, 0.24
1867, 0.28
1868, 0.18
1869, 0.31
1870, 0.30
1871, 0.27
1872, 0.15
